Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
Prior Employment Status_Prior Employment Status_Demographics,Prior Employment Status,Prior Employment Status,What did the participant do before March 2020?,"WORKING WITHOUT PAY | EMPLOYED FULL-TIME | EMPLOYED PART-TIME | NOT EMPLOYED AND NOT LOOKING FOR WORK | ONLY TEMPORARILY LAID OFF, SICK LEAVE, OR MATERNITY LEAVE | LOOKING FOR WORK, UNEMPLOYED | RETIRED | DISABLED, PERMANENT OR TEMPORARILY | RAISING CHILDREN FULL-TIME OR KEEPING HOUSE | STUDENT | OTHER | UNKNOWN | PREFER NOT TO ANSWER",Demographics,Employment Status||Employment Status,j1rQtYb_Aw||RME88_Wg_hV
Time of COVID-19 sample_COVID-19 Test Time_COVID-19 Testing,Time of COVID-19 sample,COVID-19 Test Time,What was the sample collection time for the positive COVID-19 test?,,COVID-19 Testing,null,Mapping_Not_Found
Time of COVID-19 test_COVID-19 Results Time_COVID-19 Testing,Time of COVID-19 test,COVID-19 Results Time,What was the time of the positive COVID-19 test result?,,COVID-19 Testing,COVID-19 Case Classification Date,__b0hlBmCJ
Able to get food_Able to get food_Demographics,Able to get food,Able to get food,Does the participant have a way to get food if they need to self-isolate?,YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
Age_Age_Demographics,Age,Age,[derive],,Demographics,Age||Age,fmMMaUGpKS||PDjBiGXjO
Biological Sex_Sex_Demographics,Biological Sex,Sex,What is the sex of the participant?,FEMALE | MALE | UNDIFFERENTIATED | UNKNOWN | PREFER NOT TO ANSWER,Demographics,Sex||Sex at Birth||Gender||Gender - Specify||Gender - Select Other,ezelurehr2||rGEh0ckdmr||NKwM4gsfXS||hNx1XUcZR5||N7bHP0vG1G
City of Birth_Birth City_Demographics,City of Birth,Birth City,What is the participantâ€™s city/municipality of birth?Â ,,Demographics,null,Mapping_Not_Found
Country of Birth_Birth Country_Demographics,Country of Birth,Birth Country,What is the participantâ€™s country of birth?Â ,,Demographics,Birthplace - US||Birthplace - Country Outside US,0qP44x2oX||_qZuIkipzA
Country of Residence_Country of Residence_Demographics,Country of Residence,Country of Residence,What is the participant's country of residence?,,Demographics,Address County Name,ZqxxvEdcmt
Demographics Collection Date_Demographics Collection Date_Demographics,Demographics Collection Date,Demographics Collection Date,,,Demographics,null,Mapping_Not_Found
"English Proficiency, branching_English Proficiency_Demographics","English Proficiency, branching",English Proficiency,Would the participant say they speak Englishâ€¦,VERY WELL | WELL | NOT WELL | NOT AT ALL | UNKNOWN | PREFER NOT TO ANSWER,Demographics,English Proficiency,ieG5_WJXb9
Ethnicity_Ethnicity_Demographics,Ethnicity,Ethnicity,Does the participant consider themselves Hispanic/Latino/Spanish or not Hispanic/Latino/Spanish?,"HISPANIC, LATINO, OR SPANISH | NOT HISPANIC, LATINO, OR SPANISH | UNKNOWN | PREFER NOT TO ANSWER",Demographics,Ethnicity||Race/Ethnicity Self-Identification,PtRlg7yLP_||aQO0VmltMn
Food Insecurity_Food Insecurity_Demographics,Food Insecurity,Food Insecurity,"Think of the statement â€˜The food that (I/we) bought just didnâ€™t last, and (I/we) didnâ€™t have money to get more.â€™ Was that often, sometimes, or never true for (the participant/the participant's household) in the last 12 months?",OFTEN TRUE | SOMETIMES TRUE | NEVER TRUE | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
Gender Identity_Gender Identity_Demographics,Gender Identity,Gender Identity,What terms best express how the participant describes their gender identity? ,"MAN | WOMAN | NON-BINARY | TRANSGENDER | NONE OF THESE DESCRIBE ME, AND Iâ€™D LIKE TO CONSIDER ADDITIONAL OPTIONS |UNKNOWN | PREFER NOT TO ANSWER",Demographics,Sex||Sex at Birth||Gender||Gender - Specify||Gender - Select Other,ezelurehr2||rGEh0ckdmr||NKwM4gsfXS||hNx1XUcZR5||N7bHP0vG1G
"Gender Identity, branching_Gender Identity, Detailed_Demographics","Gender Identity, branching","Gender Identity, Detailed",Are any of these a closer description to the participant's gender identity?,TRANS MAN/TRANSGENDER MAN/FTM | TRANS WOMAN/TRANSGENDER WOMAN/MTF | GENDERQUEER | GENDERFLUID | GENDER VARIANT | QUESTIONING OR UNSURE OF YOUR GENDER IDENTITY | NONE OF THESE DESCRIBE ME | UNKNOWN | PREFER NOT TO ANSWER,Demographics,Sex||Sex at Birth||Gender||Gender - Specify||Gender - Select Other,ezelurehr2||rGEh0ckdmr||NKwM4gsfXS||hNx1XUcZR5||N7bHP0vG1G
Has own transportation_Personal Transportation_Demographics,Has own transportation,Personal Transportation,Does the participant have access to their own mode of transportation?,YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
Health Insurance_Health Insurance_Demographics,Health Insurance,Health Insurance,What is the participantâ€™s primary insurance?,"PUBLIC (MEDICARE, MEDICAID, TRICARE) | PRIVATE (PURCHASED DIRECTLY OR THROUGH EMPLOYMENT) | UNINSURED | UNKNOWN | PREFERRED NOT TO ANSWER",Demographics,Category of Health Insurance||Health Insurance,cPiK4Amjn5||e4Dng_5sU66
Healthcare Access_Healthcare Access_Demographics,Healthcare Access,Healthcare Access,Is there a place that the participant USUALLY goes to when they are sick or need health care?,YES | THERE IS NO PLACE | THERE IS MORE THAN ONE PLACE | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
"Healthcare Access, branching _Healthcare Access Location_Demographics","Healthcare Access, branching ",Healthcare Access Location,What kind of place is it that the participant goes to most often?,"A DOCTORâ€™S OFFICE OR HEALTH CENTER | WALK-IN CLINIC, URGENT CARE CENTER, OR RETAIL CLINIC IN A PHARMACY OR GROCERY STORE | EMERGENCY ROOM | A VA MEDICAL CENTER OR VA OUTPATIENT CLINIC | SOME OTHER PLACE | DOES NOT GO TO ONE PLACE MOST OFTEN | REFUSED | DONâ€™T KNOW",Demographics,null,Mapping_Not_Found
Household Income_Household Income_Demographics,Household Income,Household Income,"What is the participant's best estimate of the total income of all family members (related and living in the same household) from all sources, before taxes, in the last calendar year?",,Demographics,null,Mapping_Not_Found
Household Size_Household Size_Demographics,Household Size,Household Size,Approximately how many individuals (adult and children) live in the household/place that the participant lives? ,,Demographics,Household Member Size,lZGFdiacDE
Household work from home_Household work from home_Demographics,Household work from home,Household work from home,Is anyone in the participant's household currently working outside the home or physically attending school?,YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
Paid leave_Paid Leave_Demographics,Paid leave,Paid Leave,Does the participant's job offer paid leave if they get sick?,YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
Preferred language_Preferred Langauge_Demographics,Preferred language,Preferred Langauge,What is the participant's preferred language to speak and write?,ENGLISH | SPANISH | CHINESE (MANDARIN OR CANTONESE) | TAGALOG | VIETNAMESE | ARABIC | FRENCH | OTHER,Demographics,null,Mapping_Not_Found
Sexual Orientation_Sexual Orientation_Demographics,Sexual Orientation,Sexual Orientation,Which of the following best represents how the participant thinks of themselves?,"GAY | LESBIAN | STRAIGHT; THAT IS, NOT GAY OR LESBIAN, ETC. | BISEXUAL | NONE OF THESE DESCRIBE ME, AND Iâ€™D LIKE TO SEE ADDITIONAL OPTIONS | UNKNOWN | PREFER NOT TO ANSWER",Demographics,Sexual Orientation||Sexual Orientation - Specify||Sexual Orientation - Select Other,L4LirGyWRB||dvEQ3Mi5w2||cJinh_sk6f
"Sexual Orientation, branching_Sexual Orientation, Detailed_Demographics","Sexual Orientation, branching","Sexual Orientation, Detailed",Are any of these a closer description to how the participant thinks of themselves?,"QUEER | POLYSEXUAL, OMNISEXUAL, SAPIOSEXUAL, OR PANSEXUAL | ASEXUAL | TWO-SPIRIT | HAVE NOT FIGURED OUT OR ARE IN THE PROCESS OF FIGURING OUT YOUR SEXUALITY | MOSTLY STRAIGHT, BUT SOMETIMES ATTRACTED TO PEOPLE OF YOUR OWN SEX | DO NOT THINK OF YOURSELF AS HAVING SEXUALITY | DO NOT USE LABELS TO IDENTIFY YOURSELF | DONâ€™T KNOW THE ANSWER | NO, I MEAN SOMETHING ELSE | UNKNOWN | PREFER NOT TO ANSWER",Demographics,Sexual Orientation||Sexual Orientation - Specify||Sexual Orientation - Select Other,L4LirGyWRB||dvEQ3Mi5w2||cJinh_sk6f
Space in home to self-isolate_Able to self-isolate_Demographics,Space in home to self-isolate,Able to self-isolate,"If it were necessary, could a member of the participant's household isolate themselves from the rest of their household for as long as needed? ",YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,Shared Living Space Person Ability to Isolate Indicator,mU4Pfw_Rkw
State or Province of Residence_State or Province of Residence_Demographics,State or Province of Residence,State or Province of Residence,What is the state associated with the participant’s residential street address?,,Demographics,Address State Code,6AT_JFxD1
Death Date _Death Date_Disposition,Death Date ,Death Date,Participant's date of death,,Disposition,Death Date,TF6vPKEo5H
Death Time _Death Time_Disposition,Death Time ,Death Time,Partrticipant's time of death,,Disposition,Death Date,TF6vPKEo5H
Study Discharge Date_Discharge Date_Disposition,Study Discharge Date,Discharge Date,Date of discharge from the study,,Disposition,Discharge Date,0_nDoTYndn
Street Address_Street Address_Demographics,Street Address,Street Address,What is the participant’s full street address for their residence?,,Demographics,Full Residential Address||Address Line 1||Address Line 2,njQIyXM_By||elEZcZ9NdL||pCW788Mqei
Study Identifier_Study Identifier_Demographics,Study Identifier,Study Identifier,,,Demographics,Study Identifier,FiTk9B5lx
Study Site_StudySite Identifier_Demographics,Study Site,StudySite Identifier,,,Demographics,Study Site Identifier,YgFwJdEh0
Subject Identifier_Subject Identifier for the Study_Demographics,Subject Identifier,Subject Identifier for the Study,[derive],,Demographics,Study Identifier,FiTk9B5lx
Type of Dwelling_Type of Dwelling_Demographics,Type of Dwelling,Type of Dwelling,What type of dwelling does the participant live in?,"DETACHED HOUSE | DUPLEX/TRIPLEX | ROW HOUSE | APARTMENT BUILDING| MOBILE HOME/TRAILER | COLLEGE CAMPUS HOUSING | MOTEL/HOTEL | HOSPITAL, REHABILITATION CENTER, OR OTHER TEMPORARY INSTITUTION | GROUP HOME, NURSING HOME, OR OTHER RESIDENTIAL FACILITY | TRANSITIONAL HOUSING | EMERGENCY SHELTER OR HOMELESS SHELTER | ANYWHERE OUTSIDE (E.G., STREET, VEHICLE, ABANDONED BUILDING) | OTHER | UNKNOWN | PREFER NOT TO ANSWER",Demographics,null,Mapping_Not_Found
Work from home_Work from home_Demographics,Work from home,Work from home,Does the participant currently have the ability to work from home?,YES | NO | UNKNOWN | PREFER NOT TO ANSWER,Demographics,null,Mapping_Not_Found
ZIP Code of Residence_ZIP Code of Residence_Demographics,ZIP Code of Residence,ZIP Code of Residence,What is the participant's ZIP Code?,,Demographics,Address Postal Code||Postal Zip Code,w_BHatIMoA||eT7V_ETn_6
Age at Death _Age at Death_Disposition,Age at Death ,Age at Death,Participant's age at death,,Disposition,null,Mapping_Not_Found
Autopsy Indicator _Autopsy Indicator_Disposition,Autopsy Indicator ,Autopsy Indicator,Was an autopsy performed?,YES | NO,Disposition,null,Mapping_Not_Found
Consent Date_Consent Date_Disposition,Consent Date,Consent Date,Date of consent,,Disposition,Informed Consent Signed Date,mXWo6NjEtX
Consent Time_Consent Time_Disposition,Consent Time,Consent Time,Time of consent,,Disposition,Informed Consent Signed Date,mXWo6NjEtX
Death Status _Death Indicator_Disposition,Death Status ,Death Indicator,Did the patient die?,YES | NO,Disposition,COVID-19 Related Death Indicator,riU6uL7L2
Enrollment Location_Enrollment Location_Disposition,Enrollment Location,Enrollment Location,What was the participant’s location at enrollment?,ED | INPATIENT WARD | ICU | CLINIC OR OTHER OUTPATIENT SETTING | ENROLLED REMOTELY | OTHER,Disposition,null,Mapping_Not_Found
Location of Death _Location of Death_Disposition,Location of Death ,Location of Death,Physical location at which the participant ceased to live,HOME | HOSPITAL | NURSING HOME/FACILITY | REHAB/IMMEDIATE CARE FACILITY | LONG-TERM ACUTE CARE HOSPITAL | ADULT FAMILY HOME OR OTHER NON-MEDICAL INSTITUTION | IN-PATIENT REHAB UNIT | ANOTHER ACUTE CARE HOSPITAL | PSYCHIATRIC HOSPITAL OR DISTINCT HOSPITAL UNIT | HOSPICE | OTHER,Disposition,null,Mapping_Not_Found
Primary Cause of Death_Primary Cause of Death_Disposition,Primary Cause of Death,Primary Cause of Death,Primary Cause of Death,,Disposition,null,Mapping_Not_Found
Randomization Date_Randomization Date_Disposition,Randomization Date,Randomization Date,Date of randomization,,Disposition,null,Mapping_Not_Found
Randomization Time_Randomization Time_Disposition,Randomization Time,Randomization Time,Time of randomization,,Disposition,null,Mapping_Not_Found
Screen Date_Screen Date_Disposition,Screen Date,Screen Date,Date of screening,,Disposition,null,Mapping_Not_Found
Secondary Cause of Death_Secondary Cause of Death_Disposition,Secondary Cause of Death,Secondary Cause of Death,Secondary Cause of Death,,Disposition,null,Mapping_Not_Found
Study Discharge Status_Discharge Status_Disposition,Study Discharge Status,Discharge Status,Participant status at study discharge,COMPLETED | LOST TO FOLLOW-UP | WITHDRAWAL BY SUBJECT | WITHDRAWAL BY PHYSICIAN | STUDY TERMINATED | DEATH | OTHER,Disposition,null,Mapping_Not_Found
Study Discharge Time_Discharge Time_Disposition,Study Discharge Time,Discharge Time,Time of study discharge,,Disposition,null,Mapping_Not_Found
Discharge Location_Inpatient Healthcare Encounter Discharge Location_Healthcare Encounters,Discharge Location,Inpatient Healthcare Encounter Discharge Location,Participant's discharge location if discharged alive,INPATIENT CARE | OUTPATIENT CARE | HOME/NO ADDITIONAL CARE | UNKNOWN | NA,Healthcare Encounters,null,Mapping_Not_Found
Encounter End Date_Healthcare Encounter End Date_Healthcare Encounters,Encounter End Date,Healthcare Encounter End Date,Date on which encounter ended,,Healthcare Encounters,null,Mapping_Not_Found
Encounter Ongoing_Ongoing Healthcare Encounter_Healthcare Encounters,Encounter Ongoing,Ongoing Healthcare Encounter,Was the encounter ongoing at the time of study discharge?,YES | NO,Healthcare Encounters,null,Mapping_Not_Found
Encounter Start Date_Healthcare Encounter Start Date_Healthcare Encounters,Encounter Start Date,Healthcare Encounter Start Date,Date on which encounter began,,Healthcare Encounters,null,Mapping_Not_Found
Encounter Type_Reported Term for Healthcare Encounter_Healthcare Encounters,Encounter Type,Reported Term for Healthcare Encounter,Term to describe healthcare encounter,ICU | GENERAL INPATIENT HOSPITALIZATION | OUTPATIENT ER VISIT | PRIMARY CARE PROVIDER VISIT | URGENT CARE VISIT | OTHER (SPECIFY),Healthcare Encounters,null,Mapping_Not_Found
"Encounter Type, specify_Reported Term for Healthcare Encounter, Specify_Healthcare Encounters","Encounter Type, specify","Reported Term for Healthcare Encounter, Specify",,,Healthcare Encounters,null,Mapping_Not_Found
Site Identifier_StudySite Identifier_Healthcare Encounters,Site Identifier,StudySite Identifier,,,Healthcare Encounters,Study Site Identifier,YgFwJdEh0
Arm_Name of the study arm_Intervention Exposure,Arm,Name of the study arm,What was study treatment name?,,Intervention Exposure,null,Mapping_Not_Found
Dose Form_Dose Form_Intervention Exposure,Dose Form,Dose Form,What was the dose form of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
Dose Frequency_Dose Frequency_Intervention Exposure,Dose Frequency,Dose Frequency,What was the frequency of [study treatment/dose] dosing?,,Intervention Exposure,null,Mapping_Not_Found
Dose Route_Dose Route of Administration_Intervention Exposure,Dose Route,Dose Route of Administration,What was the route of administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
Dose Units_Dose Units_Intervention Exposure,Dose Units,Dose Units,What were the units for the dose?,,Intervention Exposure,null,Mapping_Not_Found
"Dose, actual_Treatment Dose, Actual_Intervention Exposure","Dose, actual","Treatment Dose, Actual",What was the actual dose per administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
"Dose, per protocol_Treatment Dose, Planned_Intervention Exposure","Dose, per protocol","Treatment Dose, Planned",What was the planned dose per administration of [study treatment/dose]?,,Intervention Exposure,null,Mapping_Not_Found
"End Day_Treatment End Date, Day_Intervention Exposure",End Day,"Treatment End Date, Day",What was the [study treatment/dose] (end) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"End Month_Treatment End Date, Month_Intervention Exposure",End Month,"Treatment End Date, Month",What was the [study treatment/dose] (end) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
End Time_Treatment End Time_Intervention Exposure,End Time,Treatment End Time,What was the [study treatment/dose] (end) time?,,Intervention Exposure,null,Mapping_Not_Found
"End Year_Treatment End Date, Year_Intervention Exposure",End Year,"Treatment End Date, Year",What was the [study treatment/dose] (end) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Ongoing_Treatment Ongoing_Intervention Exposure,Ongoing,Treatment Ongoing,What was the [study treatment/dose] ongoing at the time of study discharge?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
"Start Day_Treatment Start Date, Day_Intervention Exposure",Start Day,"Treatment Start Date, Day",What was the [study treatment/dose] (start) date? [Day] ,,Intervention Exposure,null,Mapping_Not_Found
"Start Month_Treatment Start Date, Month_Intervention Exposure",Start Month,"Treatment Start Date, Month",What was the [study treatment/dose] (start) date? [Month] ,,Intervention Exposure,null,Mapping_Not_Found
Start Time_Treatment Start Time_Intervention Exposure,Start Time,Treatment Start Time,What was the [study treatment/dose] (start) time?,,Intervention Exposure,null,Mapping_Not_Found
"Start Year_Treatment Start Date, Year_Intervention Exposure",Start Year,"Treatment Start Date, Year",What was the [study treatment/dose] (start) date? [Year] ,,Intervention Exposure,null,Mapping_Not_Found
Study Site_Study Site Identifier_Intervention Exposure,Study Site,Study Site Identifier,,,Intervention Exposure,Study Site Identifier,YgFwJdEh0
Treatment Completed_Exposure Completed_Intervention Exposure,Treatment Completed,Exposure Completed,Did the subject complete the full course of [study treatment/dose]?,YES | NO,Intervention Exposure,null,Mapping_Not_Found
