Element,Question_Text,Values,GoldName,GoldID
Leg agility - right leg,LEG AGILITY,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - leg agility right leg score,tssxz85Nvoh
Do you think it is wonderful to be alive now?,Do you think it is wonderful to be alive now?,"Yes | No | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - wonderful alive indicator,g7NE3R7dsZ6
Alternating movement - left hand,Hand pronate/supinate: left,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson Disease Rating Scale (UPDRS) - left hand rapid alternating movement scale,SN3kP9zUPsF
"Do you prefer to stay at home, rather than going out and doing new things?","Do you prefer to stay at home, rather than going out and doing things?","No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - prefer home indicator,JDth3tCRT46
Do you feel that your situation is hopeless?,Do you feel that your situation is hopeless?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - situation hopeless indicator,jHnOnaEduD8
Do you feel happy most of the time?,Do you feel happy most of the time?,"Yes | No | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - feel happy most time indicator,myX250xnTW8
Do you feel full of energy?,Do you feel full of energy?,"Yes | No | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - full energy indicator,drm_qPWcrX5
Do you often get bored?,Do you often get bored?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - bored indicator,fgDJT6DdsEO
Do you often feel helpless?,Do you often feel helpless?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - feel helpless indicator,b7tJqrqNyPa
Obsessive-compulsive disorder (OCD),OCD; Obsessive Compulsive Disorder (OCD),"Absent	 | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Medical history obsessive compulsive disorder indicator,mkb_klQcC9m
Body bradykinesia and hypokinesia,"Body Bradykinesia and Hypokinesia (Combining slowness, hesitancy, decreased armswing, small amplitude, and poverty of movement in general.)","None | Minimal slowness, giving movement a deliberate character; could be normal for some persons; possibly reduced amplitude | Mild degree of slowness and poverty of movement which is definitely abnormal. Alternatively, some reduced amplitude | Moderate slowness, poverty or small amplitude of movement | Marked slowness, poverty or small amplitude of movement | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - body bradykinesia hypokinesia scale,a10UxmvV_Xm
Total GDS Score,Total Score (short form),"Could not be calculated | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - total score,UBq0QEsuQUr
Subcortical arteriosclerotic leukoencephalopathy present,Is subcortical aeteriosclerotic leukoencephalopathy present?,"Yes | No | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Subcortical arteriosclerotic leukoencephalopathy indicator,Tr2B6j8JHs3
Other pathologic changes related to ischemic or vascular disease not previously specified,"Are there other vascular-depending changes, which are not previously specified?; Is there other pathology related to ischemic or vascular disease not previously specified present?","No | Yes | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Other pathology ischemic vascular disease indicator,UGQheO11AXY
Total white matter volume (cc),White matter lesions: size; White matter volume,,Imaging white matter volume measurement,d8JcS8zjcK8
Primary language,Language primary text; Native language; Primary Language; Primary language; Primary language (ISO 639-2 code); What is the subject's primary language (use ISO code)?,English  | Spanish  | Mandarin  | Cantonese  | Russian  | Japanese  | Other primary language (specify)  | Unknown,Language primary text,Foyr1bNd6Fr
Lewy body pathology derived,Is Lewy body pathology present?,"No Lewy body pathology* | Brainstem-predominant | Limbic (transitional) or amygdala-predominant | Neocortical (diffuse) | Lewy bodies present, but region unspecified or found in the olfactory bulb | Not assessed | Missing",Lewy body pathology indicator,HyYeK_xb
ALS/motor neuron disease (MND),Motor Neuron Disease,"No | Yes, with TDP-43 inclusions in motor neurons | Yes, with FUS inclusions in motor neurons | Yes, with SOD1 inclusions in motor neurons | Yes, with other inclusions | Yes, with no specific inclusions | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Motor neuron disease indicator,GtdxD656bxG
Atrial fibrillation,Atrial Fibrillation; Atrial fibrillation,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Cardiovascular history arrhythmia atrial fibrillation indicator,_x6Zh7RPAno
One or more lacunes (small artery infarcts and/or hemorrhages) present,"Are one or more lacunes (small artery infarcts and/or hemorrhages) present?; Are there single or multiple lacunes (each > 1,5cm, but = 2c, small artery infarcts","Yes | No | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Lacunes single or multiple indicator,nFsOb8eDTXj
Total brain white matter volume (cc),White matter lesions: size; White matter volume,,Imaging white matter volume measurement,d8JcS8zjcK8
Paraffin-embedded blocks of brain regions,Are paraffin-embedded blocks of brain tissue accessible?,"No | Yes | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Brain tissue paraffin-embedded indicator,3NFCoOX39c7
Post-traumatic stress disorder (PTSD),Post-traumatic stress disorder (PTSD),"Absent	 | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Longitudinal Interval Follow-Up Evaluation (LIFE) - post-traumatic stress disorder indicator,a_jWfWP925q
Whole brain weight (grams),Brain weight-Part weighed; Record brain weight (grams),"unknown | Not available, NP Form version submitted did not collect data in this way",Brain weight measurement,PKagS2Wtpjj
"Ischemic, hemorrhagic, or vascular pathology present",Are there ischemic or hemorrhagic changes?,No | One or more vascular pathology | Unknown,Ischemic hemorrhagic or vascular pathology indicator,4Wf7SaaPvGK
NIA/Reagan Institute criteria,NIA/Reagan Institute neuropathological criteria likelihood of dementia being due to Alzheimer disease (AD),High likelihood of dementia being due to Alzheimer's disease | Intermediate likelihood of dementia being due to Alzheimer's disease | Low likelihood of dementia being due to Alzheimer's disease | Criteria not met | Not Done | Missing/unknown,National Institute on Aging (NIA) or Reagan Institute neuropathological criteria scale,EFNdeQNTHU2
ADRDA/Khachaturian criteria,ADRDA/Khachaturian neuropathological critera,Alzheimer's disease | Criteria not met | Not done | Missing/Unknown,ADRDA Khachaturian neuropathological criteria result,fhv3_uf3OcY
Evidence of Lewy body pathology,Is Lewy body pathology present?,"No | Brainstem predominant | Limbic (transitional) | Neocortical (diffuse) | Amygdala predominant | Olfactory bulb | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Lewy body pathology indicator,HyYeK_xb
Thyroid disease,Thyroid Disease; Thyroid disease,"Absent	 | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Thyroid disease indicator,seqDRbB9PNO
Banked frozen brain,Is banked frozen brain tissue available?,"No | Yes | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Brain tissue frozen indicator,2ApTtnfYupX
Formalin- or paraformaldehyde-fixed brain,Is formalin-fixed brain tissue accessible?,"No | Yes | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Brain tissue formalin-fixed indicator,uKb_VEvxAnO
Magnetic field strength (T),Field Strength; Field Strength of Scanner Used; Field strength; Field strength of scanner used:; Imaging scanner strength; Magnet Strength; Magnet Strength (choose one); Magnetic Field Strength of Scanner Used; Magnetic field strength; Magnetic field strength of scanner used; Magnetic field strength of scanner used:; Scanner,1.5 | 3.0 | Other | Field strength varies across images | Not applicable / no MRI available | Missing / unknown,Imaging scanner strength value,TSvG5gH29S7
Hippocampal sclerosis - contributing,Hippocampal sclerosis of the elderly associated with TDP-43 pathology,Yes | No,Hippocampal sclerosis indicator,w4BeQYKeH
Hippocampal sclerosis - primary,Hippocampal sclerosis of the elderly associated with TDP-43 pathology,Yes | No,Hippocampal sclerosis indicator,w4BeQYKeH
"Contusion/traumatic brain injury of any type, acute",TBI injury model type,"No | Yes | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Traumatic Brain Injury (TBI) model type,73b2iex3
"Contusion/traumatic brain injury of any type, chronic",TBI injury model type,"No | Yes | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Traumatic Brain Injury (TBI) model type,73b2iex3
Banked postmortem CSF,Is banked postmortem cerebrospinal fluid accessible?,"No | Yes | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",CSF postmortem indicator,EcwAP4O3Nx9
Heart valve replacement or repair,Valve Replacement,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Surgical history valve replacement indicator,Q1QlSLXlB0M
Presumptive etiologic diagnosis - Post-traumatic stress disorder (PTSD),Post-traumatic stress disorder (PTSD),"No (assumed assessed and found  | Yes | Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Longitudinal Interval Follow-Up Evaluation (LIFE) - post-traumatic stress disorder indicator,a_jWfWP925q
FTLD with tau pathology (FTLD-tau) or other tauopathy,Is frontotemporal degeneration with tau pathology present?,"No | Yes | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Frontotemporal degeneration tau pathology indicator,wrfUGjRu4_m
Smoked more than 100 cigarettes in life,Have you smoked at least 100 cigarettes in your entire life?; Have you/your child smoked at least 100 cigarettes in his/her life?,"No | Yes | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Tobacco smoked 100 cigarettes indicator,UUjoD4nCQ90
Heart attack/cardiac arrest,Did participant/subject expierence cardiac arrest?; Did the participant/subject experience cardiac arrest?,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Cardiac arrest indicator,rvMqJm4hzts
Pacemaker and/or defibrillator,Defibrillator,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Surgical history defibrillator indicator,71beSL7gr0f
Hypertension,Did participant/subject experience hypertension?; Do you have a history of hypertension?; Hypertension,"Absent	 | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Hypertension indicator,ABDqHbBxfkm
Cardiac bypass procedure,Cardiac Bypass/Stent,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Surgical history cardiac bypass stent indicator,QkJgrLmlS0z
Pacemaker,Pacemaker,"Absent | Recent/Active | Remote/Inactive | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Surgical history pacemaker indicator,XyelHIXxBCf
Braak stage for neurofibrillary degeneration (B score),"Braak and Braak Neurofibrillary Stage; If yes, select Braak stage","Stage 0, AD-type neurofibrillary degeneration not present (B0) | Stage I (B1) | Stage II (B1) | Stage III (B2) | Stage IV (B2) | Stage V (B3) | Stage VI (B3) | The presence of a tauopathy (other than aging/AD) precludes Braak staging | Not assessed | Missing/unknown",Brain atrophy Braak and Braak neurofibrillary stage,DDj_SoGSDV2
CERAD criteria,"CERAD neuropathological criteria (e.g., neuritic plaques) Alzheimer disease (AD)",Definite Alzheimer's disease | Probable Alzheimer's disease | Possible Alzheimer's disease | Criteria not met | Not done | Missing/Unknown,CERAD neuropathological criteria scale,hGK0CauSUwX
Laminar necrosis,Is cortical laminar necrosis present?; Is there cortical laminar necrosis?,No | Yes | Not assessed | Missing/unknown,Cortical laminar necrosis indicator,ykVBG_HVmAb
Hippocampal sclerosis (CA1 and/or subiculum),Hippocampal sclerosis of the elderly associated with TDP-43 pathology,"None | Unilateral | Bilateral | Present but laterality not assessed | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Hippocampal sclerosis indicator,w4BeQYKeH
Does the subject usually wear a hearing aid(s)?,Does subject have a hearing aid?,"No  | Yes  | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Woodcock Johnson III (WJ-III) - Additional information subject hearing aid use indicator,7yOlLRm9AcQ
History or presence of hypertension,Did participant/subject experience hypertension?; Do you have a history of hypertension?; Hypertension,"Absent | Present | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Hypertension indicator,ABDqHbBxfkm
Cortical visual field loss - left side,Visual fields: L side (count fingers in all four quadrants of the visual field of each eye separately),"No	   | Yes | Not assessed | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Neurological Outcome Scale for Traumatic Brain Injury (NOS - TBI) - Left side visual field scale,mkLtJO_Z3_l
UDS visit number (order),Visit No.,,Visit number,7yexJXOq0qQ
Facial expression,Facial Expression,"Normal | Minimal hypomimia, could be normal ""poker face"" | Slight but definitely abnormal diminution of facial expression | Moderate hypomimia; lips parted some of the time | Masked or fixed facies with severe or complete loss of facial expression; lips parted one-quarter inch or more | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - facial scale,1yYBKBHaZ_g
Speech,Speech,"Normal | Slight loss of expression, diction, and/or volume | Monotone, slurred but understandable; moderately impaired | Marked impairment, difficult to understand | Unintelligible | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - speech scale||Speech difficulty indicator,d8qeSdMwyU7||X1xIPQgB0M
Posture,Posture,"Normal | Not quite erect, slightly stooped posture; could be normal for older person | Moderately stooped posture, definitely abnormal; can be slightly leaning to one side | Severely stooped posture with kyphosis; can be moderately leaning to one side | Marked flexion with extreme abnormality of posture | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - posture scale,t7DmQFNqEmb
Gait,Gait,"Normal | Walks slowly; may shuffle with short steps, but no festination (hastening steps) or propulsion | Walks with difficulty, but requires little or no assistance; may have some festination, short steps, or propulsion | Severe disturbance of gait requiring assistance | Cannot walk at all, even with assistance | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - gait scale,kS6Q2MW5v7k
Tremor at rest - right hand,Tremor at rest: hands – right,"Absent | Slight and infrequently present | Mild in amplitude and persistent; or moderate in amplitude, but only intermittently present | Moderate in amplitude and present most of the time | Marked in amplitude and present most of the time | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - kinetic tremor right hand score,jJd_ho3AOuK
Finger taps - left hand,Finger taps: left,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",CNS Vital Signs - Composite score finger tapping test left tap average value||Friedreich's Ataxia Rating Scale (FARS) - neurological exam upper limb coordination finger taps left score,Q1bDNQjaa8||YTnnfsHszEd
Hand movements - left hand,Hand grips: left,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Los Angeles Motor Scale (LAMS) - grip abnormal type,UseXHErk1Ub
Posture stability,Posture,"Normal erect | Retropulsion, but recovers unaided | Absence of postural response; would fall if not caught by examiner | Very unstable, tends to lose balance spontaneously | Unable to stand without assistance | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Unified Parkinson's Disease Rating Scale (UPDRS) - postural stability scale,FV4A9vnWtW9
Year of death,,"Not applicable, subject not deceased | Unknown",Death Date||Death date and time,TF6vPKEo5H||KbA0whcbVum
Hand movements - right hand,Hand Movements Patient opens and closes hands in rapid succession.,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Los Angeles Motor Scale (LAMS) - grip abnormal type||Friedreich's Ataxia Rating Scale (FARS) - neurological exam upper limb coordination rapid alternate hand movement right score,UseXHErk1Ub||wTX8ojRTuR
Do you feel you have more problems with memory than most?,Do you feel that you have more problems with memory than most?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - memory problem indicator||PROMIS - Applied Cogntion general concerns hidden problems with memory scale,Z6ukfgPc8pU||7kV_GdTa8
"Do you feel pretty worthless the way you 
are now?",Do you feel pretty worthless the way you are now?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - worthless feeling indicator||PROMIS - Emotional Distress depression worthless scale,HVAPUdumwva||XkexLf_aa8
Do you feel that your life is empty?,Do you feel that your life is empty?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - empty life indicator||Quality of Life - Life empty assessment past week scale,cnOb2yfDBmf||X1KhZub_3dx
Are you in good spirits most of the time?,Are you in good spirits most of the time?,"Yes | No | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - good spirit indicator,nznTKq4bKCD
Finger taps - right hand,FINGER TAPPING,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - finger tap right hand score||Unified Parkinson's Disease Rating Scale (UPDRS) - right finger taps scale,PK9KQncvMwt||xPesOO7Yo53
Arising from chair,ARISING FROM CHAIR,"Normal | Slow; or may need more than one attempt | Pushes self up from arms of seat | Tends to fall back and may have to try more than one time, but can get up without help | Unable to arise without help | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - arise from chair score||Unified Parkinson's Disease Rating Scale (UPDRS) - arise from chair scale,wT8A5W5JsBR||hKxD6KKM6gs
Have you dropped many of your activities and interests?,Have you dropped many of your activities and interests?,"No | Yes | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - activity drop indicator,CoJuVByB2tr
Subject ID number,Subject ID number:,,Subject identifier number||Subject ID,BTaNtCvgCEB||Qyw98XerAz
Years of education,Adult Subjects: Education (Years Completed); Number of years of education; Years of Education (0–30); Years of education; Years of education completed,Unknown,Education year count,7BnoANaBZ6P
Are you basically satisfied with your life?,Are you basically satisfied with your life?,"Yes | No | Did not answer | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Geriatric Depression Scale (GDS) - life satisfaction indicator||PROMIS - Life Satisfaction happy with life scale,dxdZfNfGhvS||7yxgU7_T6I
Type of residence,Type of residence; Type of residence (choose one):; What type of residence does the subject currently live in?,"Single- or multi-family private residence  | Retirement community or independent group living  | Assisted living, adult family home, or boarding home  | Skilled nursing facility, nursing home, hospital, or hospice  | Other or unknown",Residence type,_XUSM4RHUWR
Rigidity - neck,RIGIDTY,"Absent | Slight or detectable only when activated by mirror or other movements | Mild to moderate | Marked, but full range of motion easily achieved | Severe; range of motion achieved with difficulty | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - neck rigidity score||Unified Parkinson's Disease Rating Scale (UPDRS) - neck rigidity scale,EbqRYaSXoSy
Alternating movement - right hand,Hand Movements Patient opens and closes hands in rapid succession.,"Normal | Mild slowing and/or reduction in amplitude | Moderately impaired; definite and early fatiguing; may have occasional arrests in movement | Severely impaired; frequent hesitation in initiating movements or arrests in ongoing movement | Can barely perform the task | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Los Angeles Motor Scale (LAMS) - grip abnormal type||Friedreich's Ataxia Rating Scale (FARS) - neurological exam upper limb coordination rapid alternate hand movement right score,UseXHErk1Ub||wTX8ojRTuR
Body mass index (BMI),BMI; BMI:; Body Mass Index; Body Mass Index (BMI); Body Mass Index (BMI):,"Unknown or not assessed | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Body mass index value||Mini Nutritional Assessment (MNA) - body mass index (BMI) score||Sleep Apnea Scale of the Sleep Disorders Questionnaire (SA-SDQ) - body mass index score,SOabw9Z7Ano||xg0AqWVStEA||EZea6gAPySZ
Rigidity - right upper extremity,RIGIDTY,"Absent | Slight or detectable only when activated by mirror or other movements | Mild to moderate | Marked, but full range of motion easily achieved | Severe; range of motion achieved with difficulty | Untestable | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Movement Disorder Society - Unified Parkinson's Disease Rating Scale (MDS UPDRS) - right upper extremity rigid score||Unified Parkinson Disease Rating Scale (UPDRS) - right upper extremity rigidity scale,2h4TWHrV110||nRddMZVdZsY
Marital status,,Married  | Widowed  | Divorced  | Separated  | Never married (or marriage was annulled)  | Living as married/domestic partner | Other or unknown,Marital Status,C6SezX_mKG
Other criteria,Other or unspecified criteria,"Alzheimer's disease, unspecified | Criteria not met | Not done | Missing/Unknown",Other unspecific neuropathological criteria result,w8AG4WAXs
Living situation,What is the subject's living situation?,Lives alone | Lives with spouse or partner  | Lives with relative or friend  | Lives with group  | Other  | Unknown,Living situation juvenile patient type||Living situation before injury type,srAROGPaG||XydtWrc05X
Medial temporal lobe sclerosis present (including hippocampal sclerosis),Is medial temporal lobe sclerosis that is considered to be ischemic in nature present?,"Yes | No | Not assessed | Missing/unknown | Not available, NP Form version submitted did not collect data in this way",Medial temporal lobe sclerosis indicator||Hippocampal sclerosis indicator,N9upW85j9Jc||w4BeQYKeH
Segmented total hippocampi volume (cc),Hippocampus,,Imaging hippocampus volume measurement,BtOvdHE0qdR
"During the past three months, how often did the subject have at least one drink of any alcoholic beverage such as wine, beer, malt liquor, or spirits?","During the past 30 days, how many days per month did you have at least one drink of any alcoholic beverage such as beer, wine, a malt beverage or liquor?","Less than once a month  | About once a month  | About once a week  | A few times a week  | Daily or almost daily | Not applicable, no alcohol consumption in last three months | Unknown  | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Alcohol use last month days drank number,C0JW6GSYXUW
Hispanic origins,"Are you Hispanic, Latino, or of Spanish origin?","Mexican, Chicano, or Mexican-American  | Puerto Rican  | Cuban  | Dominican  | Central American  | South American  | Other (specify) | Not applicable; subject is not Hispanic | Unknown | Not available: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question",Ethnicity||Race/Ethnicity Self-Identification||Ethnicity USA category,PtRlg7yLP_||LakF0YkywC||czSdhGmvyKU
Hispanic/Latino ethnicity,Is the patient's ethnicity Hispanic or Latino?,No | Yes | Unknown,Ethnicity||Race/Ethnicity Self-Identification||Ethnicity USA category,PtRlg7yLP_||LakF0YkywC||czSdhGmvyKU
