Query,Element,Variable_Label,Question,Response,Source,GoldName,GoldID
COVID-19 Vaccination Body Site_COVID-19 Vaccine Body Site_Vaccinations,COVID-19 Vaccination Body Site,COVID-19 Vaccine Body Site,What was the body site in which the [specify vaccine] was delievered?,RIGHT ARM | LEFT ARM | OTHER (SPECIFY),Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccination Body Site, Specify_COVID-19 Vaccine Body Site, Specify_Vaccinations","COVID-19 Vaccination Body Site, Specify","COVID-19 Vaccine Body Site, Specify",,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccination Dose Sequence_COVID-19 Vaccine Sequence_Vaccinations,COVID-19 Vaccination Dose Sequence,COVID-19 Vaccine Sequence,"Including this vaccination, how many doses of COVID-19 vaccine have been administered?",,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccination Dose_COVID-19 Vaccine Dose_Vaccinations,COVID-19 Vaccination Dose,COVID-19 Vaccine Dose,What was the dose of the [specify vaccine] vaccine the administered to the participant?,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccination expiration date_COVID-19 Vaccine Expiration Date_Vaccinations,COVID-19 Vaccination expiration date,COVID-19 Vaccine Expiration Date,What was the expiration date for the [specify vaccine] vaccine?,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccination Lot Number_COVID-19 Vaccine Lot Number_Vaccinations,COVID-19 Vaccination Lot Number,COVID-19 Vaccine Lot Number,What was the lot number for this COVID-19 vaccine dose?,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccination Route_COVID-19 Vaccine Route_Vaccinations,COVID-19 Vaccination Route,COVID-19 Vaccine Route,What was the route of administration for the [specify vaccine] vaccine the participant received?,"INJECTION, INTRAMUSCULAR | INHALATION, NASAL | INJECTION, SUBCUTANEOUS | TRANSDERMAL | OTHER (SPECIFY)",Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccination Route, Specify_COVID-19 Vaccine Route, Specify_Vaccinations","COVID-19 Vaccination Route, Specify","COVID-19 Vaccine Route, Specify",,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccine Dose Units_COVID-19 Vaccine Dose Units_Vaccinations,COVID-19 Vaccine Dose Units,COVID-19 Vaccine Dose Units,,,Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccine Manufacturer Specify_COVID-19 Vaccine Manufacturer, Specify_Vaccinations",COVID-19 Vaccine Manufacturer Specify,"COVID-19 Vaccine Manufacturer, Specify",,,Vaccinations,null,Mapping_Not_Found
COVID-19 Vaccine Manufacturer_COVID-19 Vaccine Manufacturer_Vaccinations,COVID-19 Vaccine Manufacturer,COVID-19 Vaccine Manufacturer,Which COVID-19 vaccine brand/type was administered to the participant?,PFIZER | MODERNA | ASTRAZENECA | JOHNSON & JOHNSON | CANSINO | NOVAVAX | SINOVAC | UNKNOWN | OTHER (SPECIFY),Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccine Name, Reported Specify_Vaccine Name Reported, Specify_Vaccinations","COVID-19 Vaccine Name, Reported Specify","Vaccine Name Reported, Specify",Specify the reported name of the vaccine administered,,Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccine Name, Reported_Vaccine name, reported_Vaccinations","COVID-19 Vaccine Name, Reported","Vaccine name, reported",What is the reported name of the vaccine administered?,COMIRNATY | SPIKEVAX | VAXZEVRIA | NUVAXOVID/COVOVAX | CONVIDECIA | CORONAVAC | VIDPREVTYN | OTHER (SPECIFY),Vaccinations,null,Mapping_Not_Found
"COVID-19 Vaccine Name, Standardized_Vaccine name, standardized_Vaccinations","COVID-19 Vaccine Name, Standardized","Vaccine name, standardized",What is the standardized name of the vaccine administered?,COVID-19 MRNA VACCINE | COVID-19 VIRAL VECTOR VACCINE | COVID-19 PROTEIN SUBUNIT VACCINE | COVID-19 VACCINE (UNSPECIFIED),Vaccinations,null,Mapping_Not_Found
Vaccination Type Specify_Vaccination Type Specify_Vaccinations,Vaccination Type Specify,Vaccination Type Specify,Specify what type of vaccine was administered,,Vaccinations,null,Mapping_Not_Found
Vaccination Type_Vaccination Type_Vaccinations,Vaccination Type,Vaccination Type,What type of vaccination was administered?,COVID-19 | INFLUENZA | OTHER (SPECIFY),Vaccinations,null,Mapping_Not_Found
"Vaccine Dose Day_Vaccine Date, Day_Vaccinations",Vaccine Dose Day,"Vaccine Date, Day",What was the [selected vaccination] day of administration? ,,Vaccinations,null,Mapping_Not_Found
"Vaccine Dose Month_Vaccine Date, Month_Vaccinations",Vaccine Dose Month,"Vaccine Date, Month",What was the [selected vaccination] month of administration? ,,Vaccinations,null,Mapping_Not_Found
"Vaccine Dose Year_Vaccine Date, Year_Vaccinations",Vaccine Dose Year,"Vaccine Date, Year",What was the [selected vaccination] year of administration? ,,Vaccinations,null,Mapping_Not_Found
Concomitant Medication Prespecification_CM Pre-Specified_ConMeds,Concomitant Medication Prespecification,CM Pre-Specified,,CMTRT ALL DRUGS WITH EXCEPTION OF OTHER (SPECIFY) AND PROTOCOL-SPECIFIC CMS OF INTEREST | OTHER (SPECIFY),ConMed,Concomitant Medication Name,8n2_4wdCZ3
